C 1        |NGC 188                  |NGC 188                  |NGC 188                  |                         |                              |Open (galactic) Cluster                          |012.108 +85.255            |     -0.94 1.13   | 8.1  
C 2        |NGC 40                   |NGC 40                   |HIP 1041                 |HD 826                   |                              |Wolf-Rayet Star                                  |003.25420892 +72.52197068  |    -10.66 5.25   |11.46 
C 3        |NGC 4236                 |NGC 4236                 |NGC 4236                 |                         |                              |Galaxy in Group of Galaxies                      |184.17396 +69.46936        |            ~ ~   | 9.63 
C 4        |NGC 7023                 |NGC 7023                 |NGC 7023                 |                         |                              |Open (galactic) Cluster                          |315.4037 +68.1633          |            ~ ~   |     ~
C 5        |IC 342                   |IC 342                   |                         |                         |                              |Galaxy in Group of Galaxies                      |056.702142 +68.096106      |            ~ ~   |     ~
C 6        |NGC 6543                 |NGC 6543                 |NAME SNAIL NEBULA        |NGC 6543                 |                              |Planetary Nebula                                 |269.639262 +66.633200      |        3.6 6.0   |11.3  
C 7        |NGC 2403                 |NGC 2403                 |NGC 2403                 |                         |                              |Galaxy in Group of Galaxies                      |114.214150 +65.602547      |            ~ ~   | 8.46 
C 8        |NGC 559                  |NGC 559                  |NGC 559                  |                         |                              |Open (galactic) Cluster                          |022.3400 +63.2800          |    -1.59 -0.52   | 9.5  
C 9        |Sh2-155                  |LBN 110.11+02.44         |                         |                         |                              |HII (ionized) region                             |344.475 +62.518            |            ~ ~   |     ~
C 10       |NGC 663                  |NGC 663                  |NGC 663                  |                         |                              |Open (galactic) Cluster                          |026.537 +61.235            |     -1.94 0.06   | 7.1  
C 11       |NGC 7635                 |NGC 7635                 |NAME BUBBLE NEBULA       |NGC 7635                 |                              |HII (ionized) region                             |350.2012 +61.2017          |            ~ ~   |     ~
C 12       |NGC 6946                 |NGC 6946                 |NGC 6946                 |                         |                              |Galaxy                                           |308.718050 +60.153678      |            ~ ~   |     ~
C 13       |NGC 457                  |NGC 457                  |NAME ET CLUSTER          |NGC 457                  |                              |Open (galactic) Cluster                          |019.896 +58.287            |    -2.69 -1.89   | 6.4  
C 14       |NGC 869                  |NGC 869                  |NAME h PER               |NGC 869                  |                              |Open (galactic) Cluster                          |034.750 +57.128            |    -0.41 -1.03   | 3.7  
C 15       |NGC 6826                 |NGC 6826                 |NAME BLINKING PLANETARY  |NGC 6826                 |                              |Planetary Nebula                                 |296.2006254 +50.5250733    |   -11.00 -9.70   | 9.6  
C 16       |NGC 7243                 |NGC 7243                 |NGC 7243                 |                         |                              |Cluster of Stars                                 |333.783 +49.898            |    -1.00 -1.67   | 6.4  
C 17       |NGC 147                  |NGC 147                  |NGC 147                  |                         |                              |Galaxy in Group of Galaxies                      |008.300500 +48.508739      |            ~ ~   |     ~
C 18       |NGC 185                  |NGC 185                  |NGC 185                  |                         |                              |Seyfert 2 Galaxy                                 |009.741542 +48.337378      |            ~ ~   |14.84 
C 19       |IC 5146                  |NAME COCOON NEBULA       |IC 5146                  |                         |                              |Open (galactic) Cluster                          |328.350 +47.267            |     2.31 -0.93   | 7.2  
C 20       |NGC 7000                 |NGC 7000                 |NAME NORTH AMER NEB      |NGC 7000                 |                              |HII (ionized) region                             |314.696 +44.330            |            ~ ~   |     ~
C 21       |NGC 4449                 |NGC 4449                 |NGC 4449                 |                         |                              |Emission-line galaxy                             |187.046325 +44.093558      |            ~ ~   |     ~
C 22       |NGC 7662                 |NGC 7662                 |NAME COPELAND'S BLUE SNOWBALL|NGC 7662             |                              |Planetary Nebula                                 |351.4733 +42.5350          |      12.2 -1.0   |12    
C 23       |NGC 891                  |NGC 891                  |NGC 891                  |                         |                              |Galaxy in Group of Galaxies                      |035.637112 +42.348319      |            ~ ~   | 9.93 
C 24       |NGC 1275                 |NGC 1275                 |NAME PERSEUS A           |NGC 1275                 |                              |Seyfert 2 Galaxy                                 |049.95066708 +41.51169531  |            ~ ~   |12.48 
