,MAIN_ID,ID_name,ID_HD,ID_HIP,ID_HR,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PMRA,PMDEC,PLX_VALUE,Distance_distance,Distance_unit,OTYPE_otypes,SP_TYPE,FLUX_R,FLUX_G,FLUX_B,FLUX_V
0,HD 224720,,HD 224720,HIP 11,,,,,,0.03733579281,46.93999652984,11.008,-2.082,3.3645,297.221,pc,*,A2,,7.324696,7.42,7.34
1,HD 236267,,HD 236267,HIP 15,,,,,,0.05035847856,50.79118639575,12.966,5.312,2.5252,396.008,pc,*,K2,,8.253609,9.78,8.61
2,HD 236268,,HD 236268,,,,,,,0.06499996351,50.75252765342,-2.395,-9.459,1.4818,674.855,pc,*,M0,,9.689608,11.14,10.02
3,HD 224756,,HD 224756,HIP 32,,,,,,0.09857729554,51.93948461223,-1.597,-2.213,0.9861,1014.096,pc,*,B8,,9.049073,9.1,9.05
4,HD 236266,,HD 236266,,,,,,,0.04966516141,51.28311565775,43.938,-17.312,3.2547,307.248,pc,*,K2,,8.609861,10.1,8.95
5,HD 224719,,HD 224719,,,,,,,0.05637317134,55.69948318892,3.782,-0.756,1.3059,765.755,pc,LP?,M1,,7.481836,10.59,9.03
6,HD 224740,,HD 224740,,,,,,,0.08784528225,55.45698390066,-2.885,-2.904,0.9761,1024.485,pc,*,A0,,9.125813,9.2,9.11
7,HD 224739,,HD 224739,,,,,,,0.04805861377,57.872387253,31.51,0.301,2.8238,354.133,pc,*,A0,,8.52985,8.85,8.6
8,HD 224755,,HD 224755,,,,,,,0.08506387415,56.85316124219,31.533,7.554,3.8137,262.213,pc,*,A2,,8.513616,8.75,8.56
9,HD 224754,,HD 224754,,,,,,,0.07557468176,60.35043447366,-6.934,-1.695,1.3594,735.619,pc,LP?,M4.5Ib-II,,6.78998,10.09,8.46
10,HD 240472,,HD 240472,,,,,,,0.04482396822,59.81359683714,3.717,-0.709,1.9826,,,*,A0,,9.695287,9.87,9.69
11,Cl Berkeley   58,,,,,,,,OCl 277.0,0.063,60.937,-3.498,-1.782,0.282,3468.0,pc,OpC,,,,10.39,9.7
12,HD 224738,,HD 224738,,,,,,,0.078245,65.9447134,41.8,1.0,,,,**,F,8.837,,9.345,9.175
13,HD 224737,,HD 224737,,,,,,,0.06655867186,72.40091546347,2.935,-1.232,1.8817,531.434,pc,Pu*,A2,,9.096174,9.41,9.16
14,HD 224734,,HD 224734,,,,,,,0.06137849626,-43.60706338625,51.231,-22.565,4.0631,246.117,pc,PM*,G8/K0IV(CNIII),,9.092397,10.29,9.36
15,HD 224749,,HD 224749,HIP 28,,,,,,0.08721256235,-43.36181877552,-10.874,-7.837,4.3947,227.547,pc,SB*,F3/5V,,8.720228,9.29,8.85
