MAIN_ID,ID_name,ID_M,ID_NGC,ID_IC,ID_Ocl,RA_d,DEC_d,PLX_VALUE,OTYPE_otypes,FLUX_V
NGC  7209,,,NGC 7209,,OCl 215.0,331.224,46.508,0.82,OpC,7.7
NGC  7686,,,NGC 7686,,,352.422,49.17,,OpC,5.6
NGC  7243,,,NGC 7243,,OCl 221.0,333.788,49.83,1.116,OpC,6.4
NGC   956,,,NGC 956,,,38.063,44.563,,OpC,8.9
Cl Collinder  428,,,,,,315.768,44.56,,OpC,8.7
NGC  7062,,,NGC 7062,,OCl 205.0,320.862,46.385,0.398,OpC,8.3
IC 1369,,,,IC 1369,,318.033,47.77,0.262,OpC,8.8
NGC  7039,,,NGC 7039,,OCl 203.0,317.663,45.597,1.293,OpC,7.6
NGC  7082,,,NGC 7082,,OCl 209.0,322.186,47.103,0.729,OpC,7.2
HD 199478,,,,,,313.95751655382,47.41765669263,0.3915,s*b,5.64
NGC  7086,,,NGC 7086,,OCl 214,322.624,51.593,0.59,OpC,8.4
Cl Berkeley   94,,,,,OCl 231,335.711,55.862,0.217,OpC,8.7
NGC  7789,,,NGC 7789,,OCl 269.0,359.334,56.726,0.453,OpC,6.7
NGC  1245,,,NGC 1245,,,48.691,47.235,0.289,OpC,8.4
NGC  7235,,,NGC 7235,,OCl 229,333.083,57.271,0.259,OpC,7.7
NGC  7261,,,NGC 7261,,OCl 237,335.056,58.128,0.278,OpC,8.4
Cl Mrk   50,,,,,OCl 257,348.806,60.448,0.323,OpC,8.5
NGC  7510,,,NGC 7510,,OCl 256,347.767,60.579,0.286,OpC,7.9
NGC  7790,,,NGC 7790,,OCl 276,359.613,61.21,0.269,OpC,8.5
NGC   189,,,NGC 189,,,9.885,61.09,0.772,OpC,8.8
NGC   129,,,NGC 129,,OCl 294,7.607,60.213,0.511,OpC,6.5
NGC   436,,,NGC 436,,OCl 320,19.001,58.82,0.262,OpC,8.8
NGC   457,NAME ET Cluster,,NGC 457,,OCl 321,19.887,58.278,0.318,OpC,6.4
NGC   744,,,NGC 744,,OCl 345,29.652,55.473,0.729,OpC,7.9
NGC  6866,NAME Kite Cluster,,NGC 6866,,,300.983,44.158,0.686,OpC,7.6
HD 217297,,,,,,344.6385665341699,63.70675898311,0.4977,**,7.4
HD 217919,,,,,,345.75611316851,63.69815304836,1.1816,SB*,8.2
HD 217979,,,,,,345.83387409532,63.55054593166,1.1718,SB*,8.6
HD 218342,,,,,,346.53740948567,63.21280131547,1.1416,SB*,7.43
HD 218537,,,,,,346.9489441554,63.6334648742,2.44,**,6.26
HD 217174,,,,,,344.3870425,62.3578889,,**,8.6
Cl Alter    1,,,,,OCl 297,7.987,63.163,0.402,OpC,8.5
Cl Stock   24,,,,,,9.945,61.967,0.326,OpC,8.8
NGC   225,,,NGC 225,,,10.805,61.774,1.432,OpC,7.0
M 103,,M 103,NGC 581,,OCl 326,23.339,60.659,0.373,OpC,7.4
Cl Trumpler    1,,,,,OCl 328,23.915,61.283,0.348,OpC,8.1
NGC   659,,,NGC 659,,OCl 332,26.108,60.679,0.287,OpC,7.9
NGC   654,,,NGC 654,,OCl 330,26.008,61.883,0.313,OpC,6.5
NGC   663,,,NGC 663,,OCl 333,26.586,61.212,0.32,OpC,7.1
NGC   957,,,NGC 957,,OCl 362,38.343,57.553,0.405,OpC,7.6
NGC  7160,,,NGC 7160,,OCl 236,328.448,62.589,1.05,OpC,6.1
